"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"4","BlackBattleship","0","Selenide Tests","0","0","","0"
"0","BlackBattleship","0","Selenide Tests","1","0","UserStoryTest3","0"
"0","BlackBattleship","1","Selenide Suite","0","0","UserStoryTest4","0"
"1","","3","","12","0","","0"
"0","BlackBattleship","0","Selenide Suite","1","0","UserStoryTest3","0"
"0","BlackBattleship","0","Selenide acceptance tests","1","0","UserStoryTest1","0"
"0","BlackBattleship","0","Selenide acceptance tests","1","0","UserStoryTest3","0"
"4","BlackBattleship","0","Selenide acceptance tests","0","0","","0"
"0","BlackBattleship","0","Selenide acceptance tests","1","0","UserStoryTest4","0"
"0","BlackBattleship","0","Selenide acceptance tests","1","0","UserStoryTest2","0"
"0","BlackBattleship","0","Selenide Tests","1","0","UserStoryTest2","0"
"1","BlackBattleship","0","Selenide Suite","0","0","","0"
"0","BlackBattleship","0","Selenide Suite","1","0","UserStoryTest1","0"
"0","BlackBattleship","0","Selenide Suite","1","0","UserStoryTest2","0"
"0","BlackBattleship","0","Selenide Tests","1","0","UserStoryTest1","0"
"0","BlackBattleship","1","Selenide Tests","0","0","UserStoryTest4","0"
